0,3,1,+,2,3,=,3
1,0,2,3,-,3,=,0
2,2,1,*,6,3,=,3
3,0,5,4,-,2,=,2
4,6,4,+,0,=,5,4
5,4,1,+,2,=,6,3
6,0,1,9,/,3,=,3
7,3,5,-,1,3,=,4
8,1,5,-,/,5,=,1
9,2,4,+,6,3,=,7
10,2,1,*,+,5,=,5
11,1,0,5,*,3,=,0
12,2,7,-,1,3,=,4
13,3,8,-,1,3,=,7
14,0,5,7,/,1,=,7
15,0,5,8,/,2,=,4
16,5,5,*,1,=,5,4
17,2,9,/,+,3,=,3
18,1,5,-,+,3,=,8
19,5,4,/,2,=,2,4
20,1,7,/,-,3,=,4
21,2,6,/,2,3,=,2
22,5,5,+,2,=,7,4
23,0,4,9,+,0,=,9
24,1,6,-,+,2,=,8
25,0,4,1,*,2,=,2
26,4,4,*, 1,=,5,4
27,1,4,5,*,2,=,8
28,2,3,*,+,2,=,6
29,0,5,0,*,2,=,0
30,4,4,-,3,=,2,1
31,5,6,/,2,=,3,1
32,4,6,-,5,=,5,1
33,4,6,-,5,=,5,1
34,0,3,0,+,0,=,0
